Timestamp,Language,Category,Tram_ID,Station_Name,Latitude,Longitude,Complaint_Text
2026-01-01 06:17:28,French,Spam,Tram45,Gare Casa Port,33.5992,-7.6125,Choix direct de la catégorie
2026-01-01 06:35:37,English,Comportement du personnel,Tram02,Abdelmoumen,33.5731,-7.6184,Choix direct de la catégorie
2026-01-01 07:43:55,French,Informations insuffisantes,Tram03,Abdelmoumen,33.5731,-7.6184,Choix direct de la catégorie
2026-01-01 08:08:32,French,Equipements,Tram05,Technopark,33.535,-7.6322,Choix direct de la catégorie
2026-01-01 08:30:08,French,Comportement du personnel,Tram35,Abdelmoumen,33.5731,-7.6184,Choix direct de la catégorie
2026-01-01 09:25:54,French,Equipements,Tram05,Nations Unies,33.5956,-7.6186,Choix direct de la catégorie
2026-01-01 09:29:57,French,Informations insuffisantes,Tram45,Nations Unies,33.5956,-7.6186,Choix direct de la catégorie
2026-01-01 13:13:18,Arabic,Sécurité et sûreté,Tram20,Abdelmoumen,33.5731,-7.6184,Choix direct de la catégorie
2026-01-01 17:15:43,French,Tarification,Tram04,Casa Voyageurs,33.5898,-7.5898,Choix direct de la catégorie
2026-01-01 17:23:52,French,Comportement indésirable,Tram02,Technopark,33.535,-7.6322,Choix direct de la catégorie
2026-01-01 18:16:46,French,Sécurité et sûreté,Tram21,Nations Unies,33.5956,-7.6186,Choix direct de la catégorie
2026-01-01 18:53:06,French,Informations insuffisantes,Tram40,Casa Voyageurs,33.5898,-7.5898,Choix direct de la catégorie
2026-01-01 19:14:24,French,Equipements,Tram35,Casa Voyageurs,33.5898,-7.5898,Choix direct de la catégorie
2026-01-01 19:15:15,French,Comportement du personnel,Tram25,Gare Casa Port,33.5992,-7.6125,Choix direct de la catégorie
2026-01-01 19:17:57,French,Spam,Tram07,Abdelmoumen,33.5731,-7.6184,Choix direct de la catégorie
2026-01-01 20:10:30,French,Comportement du personnel,Tram39,Abdelmoumen,33.5731,-7.6184,Choix direct de la catégorie
2026-01-02 06:04:58,French,Ponctualité et régularité,Tram14,Casa Voyageurs,33.5898,-7.5898,Choix direct de la catégorie
2026-01-02 06:40:04,English,Sécurité et sûreté,Tram33,Nations Unies,33.5956,-7.6186,Choix direct de la catégorie
2026-01-02 07:50:10,Arabic,Tarification,Tram19,Technopark,33.535,-7.6322,Choix direct de la catégorie
2026-01-02 08:19:50,French,Informations insuffisantes,Tram25,Technopark,33.535,-7.6322,Choix direct de la catégorie
2026-01-02 08:30:06,Arabic,Comportement du personnel,Tram38,Casa Voyageurs,33.5898,-7.5898,Choix direct de la catégorie
2026-01-02 09:10:12,Arabic,Spam,Tram31,Abdelmoumen,33.5731,-7.6184,Choix direct de la catégorie
2026-01-02 09:11:57,Arabic,Equipements,Tram16,Technopark,33.535,-7.6322,Choix direct de la catégorie
2026-01-02 09:17:59,French,Equipements,Tram26,Technopark,33.535,-7.6322,Choix direct de la catégorie
2026-01-02 09:29:20,Arabic,Comportement indésirable,Tram28,Gare Casa Port,33.5992,-7.6125,Choix direct de la catégorie
2026-01-02 17:13:03,French,Informations insuffisantes,Tram08,Abdelmoumen,33.5731,-7.6184,Choix direct de la catégorie
2026-01-02 17:38:49,French,Sécurité et sûreté,Tram02,Casa Voyageurs,33.5898,-7.5898,Choix direct de la catégorie
2026-01-02 17:46:54,Arabic,Comportement indésirable,Tram25,Casa Voyageurs,33.5898,-7.5898,Choix direct de la catégorie
2026-01-02 18:13:11,Arabic,Tarification,Tram31,Abdelmoumen,33.5731,-7.6184,Choix direct de la catégorie
2026-01-02 19:21:46,Arabic,Informations voyageur,Tram14,Abdelmoumen,33.5731,-7.6184,Choix direct de la catégorie
2026-01-02 19:29:10,French,Tarification,Tram22,Casa Voyageurs,33.5898,-7.5898,Choix direct de la catégorie
2026-01-02 20:57:55,French,Comportement du personnel,Tram02,Nations Unies,33.5956,-7.6186,Choix direct de la catégorie
2026-01-02 22:23:09,French,Comportement indésirable,Tram06,Technopark,33.535,-7.6322,Choix direct de la catégorie
2026-01-02 22:37:42,French,Comportement du personnel,Tram43,Casa Voyageurs,33.5898,-7.5898,Choix direct de la catégorie
2026-01-02 23:21:42,French,Spam,Tram29,Abdelmoumen,33.5731,-7.6184,Choix direct de la catégorie
2026-01-03 06:57:52,Arabic,Equipements,Tram17,Casa Voyageurs,33.5898,-7.5898,Choix direct de la catégorie
2026-01-03 07:27:15,French,Ponctualité et régularité,Tram34,Abdelmoumen,33.5731,-7.6184,Choix direct de la catégorie
2026-01-03 08:21:55,Arabic,Sécurité et sûreté,Tram37,Abdelmoumen,33.5731,-7.6184,Choix direct de la catégorie
2026-01-03 08:26:27,Arabic,Tarification,Tram02,Casa Voyageurs,33.5898,-7.5898,Choix direct de la catégorie
2026-01-03 09:00:57,Arabic,Comportement du personnel,Tram31,Abdelmoumen,33.5731,-7.6184,Choix direct de la catégorie
2026-01-03 09:27:45,Arabic,Comportement indésirable,Tram23,Casa Voyageurs,33.5898,-7.5898,Choix direct de la catégorie
2026-01-03 09:59:11,French,Ponctualité et régularité,Tram17,Gare Casa Port,33.5992,-7.6125,Choix direct de la catégorie
2026-01-03 12:11:45,Arabic,Informations insuffisantes,Tram25,Technopark,33.535,-7.6322,Choix direct de la catégorie
2026-01-03 14:08:53,French,Sécurité et sûreté,Tram26,Casa Voyageurs,33.5898,-7.5898,Choix direct de la catégorie
2026-01-03 17:09:03,Arabic,Comportement indésirable,Tram36,Casa Voyageurs,33.5898,-7.5898,Choix direct de la catégorie
2026-01-03 17:25:59,Arabic,Comportement indésirable,Tram37,Nations Unies,33.5956,-7.6186,Choix direct de la catégorie
2026-01-03 18:11:02,French,Ponctualité et régularité,Tram27,Abdelmoumen,33.5731,-7.6184,Choix direct de la catégorie
